fileName,spoofType,illuminationCondition,environment,isSpoof
Data/test/6964/spoof/494405.png,4,2,2,1
Data/test/9596/spoof/494406.png,9,2,2,1
Data/test/9014/spoof/494407.png,8,1,2,1
Data/test/7607/spoof/494408.png,6,1,1,1
Data/test/5624/spoof/494409.png,2,1,1,1
Data/test/8965/live/494410.png,0,0,0,0
Data/test/6407/spoof/494411.png,3,1,2,1
Data/test/6153/spoof/494412.png,3,1,1,1
Data/test/5128/spoof/494413.png,1,1,1,1
Data/test/9550/spoof/494414.png,9,1,2,1
Data/test/9283/live/494415.png,0,0,0,0
Data/test/5620/spoof/494416.png,2,1,1,1
Data/test/7566/spoof/494417.png,6,1,1,1
Data/test/6411/live/494418.png,0,0,0,0
Data/test/6336/spoof/494419.png,3,1,1,1
Data/test/5170/spoof/494420.png,5,1,1,1
Data/test/5162/live/494421.png,0,0,0,0
Data/test/7883/live/494422.png,0,0,0,0
Data/test/9349/spoof/494423.png,9,2,1,1
Data/test/6074/live/494424.png,0,0,0,0
Data/test/9680/spoof/494425.png,9,1,1,1
Data/test/9250/spoof/494426.png,9,3,1,1
Data/test/9909/spoof/494427.png,10,2,1,1
Data/test/7483/live/494428.png,0,0,0,0
Data/test/8880/spoof/494429.png,8,2,1,1
Data/test/9684/spoof/494430.png,9,2,1,1
Data/test/9585/live/494431.png,0,0,0,0
Data/test/5931/live/494432.png,0,0,0,0
Data/test/5770/live/494433.png,0,0,0,0
Data/test/5298/live/494434.png,0,0,0,0
Data/test/5481/live/494435.png,0,0,0,0
Data/test/9735/spoof/494436.png,7,1,1,1
Data/test/4943/live/494437.png,0,0,0,0
Data/test/6617/spoof/494438.png,4,1,1,1
Data/test/6178/live/494439.png,0,0,0,0
Data/test/7988/live/494440.png,0,0,0,0
Data/test/9541/live/494441.png,0,0,0,0
Data/test/6399/spoof/494442.png,3,1,1,1
Data/test/10047/spoof/494443.png,7,1,1,1
Data/test/9632/spoof/494444.png,9,3,2,1
Data/test/7894/spoof/494445.png,6,4,1,1
Data/test/9268/live/494446.png,0,0,0,0
Data/test/5478/spoof/494447.png,2,1,1,1
Data/test/5471/spoof/494448.png,1,1,1,1
Data/test/6441/spoof/494449.png,3,1,1,1
Data/test/7322/live/494450.png,0,0,0,0
Data/test/9784/spoof/494451.png,10,1,1,1
Data/test/5596/live/494452.png,0,0,0,0
Data/test/7322/live/494453.png,0,0,0,0
Data/test/9073/spoof/494454.png,8,1,2,1
Data/test/7193/spoof/494455.png,7,1,1,1
Data/test/5567/live/494456.png,0,0,0,0
Data/test/5023/spoof/494457.png,7,1,1,1
Data/test/6313/spoof/494458.png,3,1,1,1
Data/test/9073/spoof/494459.png,8,1,2,1
Data/test/7362/live/494460.png,0,0,0,0
Data/test/9647/spoof/494461.png,9,4,2,1
Data/test/5545/spoof/494462.png,5,1,1,1
Data/test/5988/spoof/494463.png,2,1,1,1
Data/test/9684/spoof/494464.png,9,2,1,1
Data/test/8267/live/494465.png,0,0,0,0
Data/test/5052/spoof/494466.png,1,1,1,1
Data/test/8814/live/494467.png,0,0,0,0
Data/test/6843/spoof/494468.png,7,1,1,1
Data/test/6657/live/494469.png,0,0,0,0
Data/test/5010/spoof/494470.png,1,1,1,1
Data/test/7108/live/494471.png,0,0,0,0
Data/test/5545/spoof/494472.png,5,1,1,1
Data/test/4996/live/494473.png,0,0,0,0
Data/test/5075/spoof/494474.png,5,1,1,1
Data/test/9018/spoof/494475.png,8,1,2,1
Data/test/6506/spoof/494476.png,3,4,1,1
Data/test/6144/spoof/494477.png,3,1,1,1
Data/test/5158/spoof/494478.png,5,1,1,1
Data/test/7570/spoof/494479.png,6,1,1,1
Data/test/8395/live/494480.png,0,0,0,0
Data/test/6293/spoof/494481.png,3,4,1,1
Data/test/7568/spoof/494482.png,6,1,1,1
Data/test/9217/spoof/494483.png,7,1,1,1
Data/test/6248/spoof/494484.png,3,1,1,1
